Year,Normalized_Name,Total_Spending,Total_Beneficiaries,Total_Claims
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2022,Mounjaro,144035152.3,54202,121095
2023,Mounjaro,2361384157,370203,1821486
2019,Ozempic,552401781.4,142494,523508
2020,Ozempic,1455812267,269663,1204138
2021,Ozempic,2621694348,458643,2016177
2022,Ozempic,4628160643,780253,3410839
2023,Ozempic,9194048435,1464468,6927972
2019,Ozempic,552401781.4,142494,523508
2020,Ozempic,1455812267,269663,1204138
2021,Ozempic,2621694348,458643,2016177
2022,Ozempic,4628160643,780253,3410839
2023,Ozempic,9194048435,1464468,6927972
2019,Ozempic,552401781.4,142494,523508
2020,Ozempic,1455812267,269663,1204138
2021,Ozempic,2621694348,458643,2016177
2022,Ozempic,4628160643,780253,3410839
2023,Ozempic,9194048435,1464468,6927972
2019,Ozempic,552401781.4,142494,523508
2020,Ozempic,1455812267,269663,1204138
2021,Ozempic,2621694348,458643,2016177
2022,Ozempic,4628160643,780253,3410839
2023,Ozempic,9194048435,1464468,6927972
2019,Ozempic,552401781.4,142494,523508
2020,Ozempic,1455812267,269663,1204138
2021,Ozempic,2621694348,458643,2016177
2022,Ozempic,4628160643,780253,3410839
2023,Ozempic,9194048435,1464468,6927972
2019,Ozempic,552401781.4,142494,523508
2020,Ozempic,1455812267,269663,1204138
2021,Ozempic,2621694348,458643,2016177
2022,Ozempic,4628160643,780253,3410839
2023,Ozempic,9194048435,1464468,6927972
2019,Rybelsus,367221.8,308,400
2020,Rybelsus,73444408.61,27825,68091
2021,Rybelsus,454563823.3,108224,367858
2022,Rybelsus,974894470.1,184615,686346
2023,Rybelsus,1665906943,285693,1075026
2019,Rybelsus,367221.8,308,400
2020,Rybelsus,73444408.61,27825,68091
2021,Rybelsus,454563823.3,108224,367858
2022,Rybelsus,974894470.1,184615,686346
2023,Rybelsus,1665906943,285693,1075026
2019,Rybelsus,367221.8,308,400
2020,Rybelsus,73444408.61,27825,68091
2021,Rybelsus,454563823.3,108224,367858
2022,Rybelsus,974894470.1,184615,686346
2023,Rybelsus,1665906943,285693,1075026
2019,Rybelsus,367221.8,308,400
